@relation bank-additional-full-weka.filters.unsupervised.attribute.RemoveType-Tnumeric

@attribute job {housemaid,services,admin.,blue-collar,technician,retired,management,unemployed,self-employed,unknown,entrepreneur,student}
@attribute marital {married,single,divorced,unknown}
@attribute education {basic.4y,high.school,basic.6y,basic.9y,professional.course,unknown,university.degree,illiterate}
@attribute default {no,unknown,yes}
@attribute housing {no,yes,unknown}
@attribute loan {no,yes,unknown}
@attribute contact {telephone,cellular}
@attribute month {may,jun,jul,aug,oct,nov,dec,mar,apr,sep}
@attribute day_of_week {mon,tue,wed,thu,fri}
@attribute poutcome {nonexistent,failure,success}
@attribute y {yes,no}

@data
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
technician,married,university.degree,no,no,yes,telephone,may,mon,nonexistent,no
technician,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no
self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
technician,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,nonexistent,no
admin.,married,unknown,no,no,no,telephone,may,mon,nonexistent,no
technician,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,no,no,no,telephone,may,mon,nonexistent,no
management,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,nonexistent,no
unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
technician,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
technician,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
management,unknown,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
entrepreneur,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
admin.,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,no,yes,telephone,may,mon,nonexistent,no
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no
technician,single,professional.course,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
housemaid,married,basic.4y,no,no,yes,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
admin.,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
technician,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no
management,married,university.degree,unknown,no,yes,telephone,may,mon,nonexistent,no
services,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no
unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,nonexistent,no
technician,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,nonexistent,no
management,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no
unknown,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,yes
technician,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no
management,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,nonexistent,no
admin.,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,no
entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,yes
technician,single,university.degree,no,no,yes,telephone,may,mon,nonexistent,no
admin.,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,no
management,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,no
technician,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,yes
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
unknown,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no
admin.,married,unknown,unknown,no,yes,telephone,may,mon,nonexistent,no
unemployed,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,nonexistent,no
services,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
technician,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
services,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,no
services,married,unknown,no,no,no,telephone,may,mon,nonexistent,no
admin.,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no
admin.,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no
services,single,high.school,unknown,no,no,telephone,may,mon,nonexistent,no
housemaid,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no
technician,married,unknown,unknown,yes,yes,telephone,may,mon,nonexistent,no
retired,divorced,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
services,divorced,high.school,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
admin.,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no
admin.,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
technician,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,no,yes,telephone,may,mon,nonexistent,no
admin.,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
technician,divorced,professional.course,no,yes,yes,telephone,may,mon,nonexistent,no
retired,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
technician,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,yes
blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,nonexistent,no
technician,married,professional.course,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no
housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,yes
unemployed,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
management,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no
management,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no
services,divorced,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no
entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,no,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
technician,single,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
management,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
services,divorced,high.school,unknown,no,no,telephone,may,mon,nonexistent,no
entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,no
admin.,divorced,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,no,no,no,telephone,may,mon,nonexistent,no
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,nonexistent,no
services,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,no
technician,married,university.degree,no,yes,yes,telephone,may,mon,nonexistent,no
admin.,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
management,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,no
admin.,single,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
technician,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,nonexistent,yes
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
technician,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,no
retired,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
technician,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no
technician,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
services,single,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,unknown,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
student,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
student,single,university.degree,unknown,yes,yes,telephone,may,mon,nonexistent,no
unemployed,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no
services,single,basic.4y,no,no,no,telephone,may,mon,nonexistent,no
student,single,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no
student,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
housemaid,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
retired,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no
housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,single,unknown,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,single,unknown,no,yes,yes,telephone,may,mon,nonexistent,no
housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
technician,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
services,single,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,no
technician,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no
technician,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
retired,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
technician,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
admin.,single,university.degree,no,no,no,telephone,may,mon,nonexistent,no
retired,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,nonexistent,no
admin.,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
services,divorced,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,no
self-employed,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,unknown,no,yes,telephone,may,mon,nonexistent,no
management,married,university.degree,unknown,no,yes,telephone,may,mon,nonexistent,no
retired,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
technician,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no
management,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
services,single,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
technician,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
services,divorced,unknown,no,no,no,telephone,may,mon,nonexistent,no
technician,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no
technician,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,single,high.school,no,no,yes,telephone,may,mon,nonexistent,no
services,single,high.school,no,no,no,telephone,may,mon,nonexistent,no
technician,divorced,professional.course,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
services,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no
technician,married,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
services,married,unknown,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no
management,married,basic.9y,no,no,yes,telephone,may,mon,nonexistent,no
technician,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,no,yes,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,no,yes,telephone,may,mon,nonexistent,no
blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,nonexistent,no
technician,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
admin.,divorced,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,single,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
self-employed,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
student,single,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no
self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
unemployed,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no
management,divorced,university.degree,no,no,no,telephone,may,mon,nonexistent,no
housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,single,high.school,no,no,no,telephone,may,mon,nonexistent,no
housemaid,single,high.school,unknown,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,nonexistent,no
technician,single,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
retired,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
technician,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
housemaid,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,yes
admin.,single,high.school,no,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,yes,yes,telephone,may,mon,nonexistent,no
technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
technician,single,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
self-employed,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
services,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,no
unknown,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
services,single,high.school,unknown,no,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,nonexistent,no
retired,married,professional.course,unknown,no,no,telephone,may,mon,nonexistent,no
unknown,married,unknown,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,basic.6y,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
housemaid,divorced,basic.4y,no,yes,yes,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
management,divorced,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
admin.,single,university.degree,no,no,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no
management,married,university.degree,unknown,yes,no,telephone,may,mon,nonexistent,no
admin.,single,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,divorced,high.school,no,no,no,telephone,may,mon,nonexistent,no
retired,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
management,single,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
admin.,single,basic.6y,no,yes,yes,telephone,may,mon,nonexistent,no
technician,single,unknown,no,no,no,telephone,may,mon,nonexistent,no
services,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,no
technician,married,professional.course,no,yes,yes,telephone,may,mon,nonexistent,no
housemaid,single,professional.course,no,no,no,telephone,may,mon,nonexistent,no
admin.,single,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,nonexistent,no
management,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
self-employed,single,university.degree,no,no,yes,telephone,may,mon,nonexistent,no
services,married,high.school,unknown,yes,no,telephone,may,mon,nonexistent,no
entrepreneur,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
technician,single,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,single,high.school,no,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no
management,married,university.degree,unknown,no,no,telephone,may,mon,nonexistent,no
management,married,professional.course,unknown,yes,no,telephone,may,mon,nonexistent,no
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
unknown,married,unknown,unknown,yes,no,telephone,may,mon,nonexistent,no
blue-collar,divorced,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
technician,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
services,divorced,professional.course,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,nonexistent,no
entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,nonexistent,no
technician,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no
management,married,university.degree,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,nonexistent,no
unemployed,single,university.degree,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,single,high.school,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,nonexistent,no
services,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,no
entrepreneur,married,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
unemployed,divorced,high.school,unknown,no,no,telephone,may,tue,nonexistent,no
management,married,university.degree,no,yes,no,telephone,may,tue,nonexistent,no
technician,married,high.school,no,yes,no,telephone,may,tue,nonexistent,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,nonexistent,no
admin.,married,university.degree,no,yes,no,telephone,may,tue,nonexistent,no
technician,married,university.degree,no,no,no,telephone,may,tue,nonexistent,no
self-employed,married,high.school,no,yes,no,telephone,may,tue,nonexistent,no
admin.,divorced,basic.9y,no,no,no,telephone,may,tue,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,nonexistent,no
management,divorced,high.school,no,no,no,telephone,may,tue,nonexistent,no
blue-collar,married,basic.9y,no,no,no,telephone,may,tue,nonexistent,no
blue-collar,married,basic.9y,no,no,yes,telephone,may,tue,nonexistent,no
admin.,single,high.school,no,yes,no,telephone,may,tue,nonexistent,no
blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,nonexistent,no
